"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"21015 CODO";249295;251533;253601;255851;258133;260376;262596;264697;266722;268581;270308;271419;272417;273315;274255;275238;276172;277108;278092;279055;280000;280930
"21016 COELHO NETO";77587;78808;79939;81168;82415;83640;84852;86000;87105;88120;89063;89670;90215;90706;91218;91755;92265;92776;93313;93840;94357;94865
"21017 CAXIAS";376534;381688;386454;391639;396900;402069;407182;412023;416690;420970;424949;427508;429811;431879;434041;436309;438457;440618;442882;445103;447282;449422
"21018 CHAPADAS DO ALTO ITAPECURU";195088;197067;198897;200888;202906;204890;206854;208713;210504;212146;213674;214658;215541;216333;217165;218035;218860;219688;220558;221411;222247;223069
"21019 PORTO FRANCO";92452;94540;96472;98572;100703;102797;104867;106830;108719;110452;112065;113101;114035;114871;115748;116667;117538;118413;119331;120229;121114;121979
"21020 GERAIS DE BALSAS";108838;111439;113844;116462;119116;121724;124306;126747;129102;131261;133270;134563;135725;136766;137859;139001;140087;141177;142320;143440;144541;145620
"21021 CHAPADAS DAS MANGABEIRAS";64579;65161;65699;66286;66879;67461;68039;68587;69112;69595;70045;70333;70594;70828;71072;71327;71571;71814;72070;72320;72567;72809
"31001 UNAI";141173;142522;143751;144899;145984;147026;148010;148915;149806;150687;151534;152428;153325;154203;155091;155995;156843;157671;158523;159350;160148;160919
"31002 PARACATU";201938;204502;206832;209014;211079;213053;214922;216639;218335;220011;221617;223317;225021;226690;228371;230092;231698;233272;234892;236461;237979;239440
"31003 JANUARIA";264281;266287;268110;269820;271437;272982;274444;275789;277113;278428;279685;281015;282349;283655;284971;286317;287578;288809;290076;291306;292494;293639
"31004 JANAUBA";244316;245324;246241;247098;247908;248685;249419;250093;250758;251418;252049;252716;253386;254042;254704;255380;256011;256629;257266;257882;258479;259052
"31005 SALINAS";204940;206203;207354;208430;209448;210423;211344;212190;213025;213852;214644;215482;216323;217144;217974;218824;219619;220393;221188;221964;222711;223432
