"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"50002 AQUIDAUANA";-;-;-;-;-;2;-;-;-;-;1;-;-;1;4;-;2;1;-;-;-;-;-;11
"50003 ALTO TAQUARI";-;-;-;-;3;5;-;2;-;3;-;3;2;3;4;3;1;2;-;6;-;-;-;37
"50004 CAMPO GRANDE";-;1;-;-;2;4;4;6;4;7;7;3;6;7;9;6;7;8;3;3;2;4;2;95
"50005 CASSILANDIA";-;-;2;-;1;1;3;2;-;1;-;6;1;1;6;1;1;-;3;2;1;-;1;33
"50006 PARANAIBA";-;-;-;-;-;1;1;1;-;-;1;1;1;3;-;-;1;-;-;-;-;1;-;11
"50007 TRES LAGOAS";-;-;-;-;1;5;-;2;1;1;1;2;-;-;2;2;1;3;-;2;3;-;3;29
"50008 NOVA ANDRADINA";-;-;-;-;-;1;-;1;-;1;1;-;1;9;-;1;1;-;-;-;-;-;-;16
"50009 BODOQUENA";-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;1;-;1;1;6
"50010 DOURADOS";-;2;2;3;3;3;4;4;-;2;4;5;7;9;6;3;4;5;6;5;3;10;7;97
"50011 IGUATEMI";-;-;-;-;2;1;2;1;1;1;6;4;3;4;2;2;1;-;2;1;1;2;4;40
"Ignorado - MS";-;-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"51001 ARIPUANA";-;-;2;-;-;1;3;1;-;1;2;2;1;5;2;1;3;3;4;-;4;-;-;35
"51002 ALTA FLORESTA";-;-;1;-;-;-;1;-;-;-;-;2;-;-;-;2;-;1;2;-;-;1;-;10
