"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"31031 ITABIRA";-;-;1;-;4;-;-;-;-;1;1;-;1;2;1;1;4;3;2;-;1;2;3;27
"31032 ITAGUARA";-;-;-;1;-;1;1;1;-;-;1;-;-;1;1;-;1;-;1;1;4;-;1;15
"31033 OURO PRETO";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;3
"31034 CONSELHEIRO LAFAIETE";-;-;-;-;1;-;1;-;1;2;-;1;1;-;1;-;-;1;-;1;1;-;3;14
"31035 GUANHAES";-;-;-;-;2;-;-;-;-;2;-;-;-;1;-;-;-;1;-;2;-;1;-;9
"31036 PECANHA";-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;5
"31037 GOVERNADOR VALADARES";-;1;-;3;1;1;-;4;3;2;1;2;3;2;3;2;3;-;-;-;1;2;2;36
"31038 MANTENA";-;-;-;1;-;1;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;5
"31039 IPATINGA";3;-;1;-;1;-;-;1;2;-;-;1;3;1;3;1;2;5;2;2;2;1;1;32
"31040 CARATINGA";-;-;-;1;-;-;-;1;1;-;1;-;1;-;1;-;1;2;2;2;-;2;3;18
"31041 AIMORES";-;-;1;-;-;1;2;1;1;-;-;1;8;-;1;1;-;2;2;2;-;1;-;24
"31042 PIUI";-;-;1;-;-;1;-;-;-;-;1;2;-;1;-;-;1;-;2;1;1;1;3;15
"31043 DIVINOPOLIS";-;-;1;2;1;1;1;5;3;3;3;4;4;3;1;3;2;5;2;5;5;1;3;58
"31044 FORMIGA";-;1;2;1;2;1;2;1;-;2;-;1;3;2;4;2;2;1;2;1;2;1;1;34
"31045 CAMPO BELO";2;-;-;3;3;3;2;1;2;-;-;-;1;-;2;3;2;1;-;3;-;1;1;30
"31046 OLIVEIRA";1;-;1;-;-;-;-;2;15;5;2;2;1;1;2;1;1;1;3;4;1;1;1;45
"31047 PASSOS";-;1;3;-;4;-;-;-;1;1;4;3;-;4;1;2;1;1;5;-;2;-;2;35
"31048 SAO SEBASTIAO DO PARAISO";-;1;3;5;-;1;-;-;1;1;3;1;-;1;-;-;2;2;3;3;4;2;1;34
"31049 ALFENAS";-;-;-;-;1;1;3;-;-;-;4;2;3;1;-;1;-;-;1;4;3;2;1;27
"31050 VARGINHA";2;4;1;2;2;5;2;1;1;4;-;5;2;-;-;-;1;2;3;4;5;2;-;48
"31051 POCOS DE CALDAS";-;-;-;1;2;4;-;-;1;1;1;1;2;1;2;1;-;4;2;3;-;5;-;31
"31052 POUSO ALEGRE";-;2;1;-;1;1;2;-;-;-;1;1;2;1;-;1;1;1;2;5;-;4;1;27
"31053 SANTA RITA DO SAPUCAI";-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;4
"31054 SAO LOURENCO";-;-;-;-;-;-;2;-;1;1;3;1;-;1;1;-;1;2;1;-;1;2;-;17
"31055 ANDRELANDIA";-;1;-;1;-;-;1;1;1;-;5;-;1;1;-;2;-;-;-;-;-;1;2;17
"31056 ITAJUBA";-;-;-;-;1;-;1;1;-;1;1;1;-;-;2;-;1;-;-;1;1;-;-;11
"31057 LAVRAS";2;-;1;-;5;1;1;1;2;1;2;2;3;-;1;3;-;-;-;1;1;2;1;30
"31058 SAO JOAO DEL REI";1;1;-;-;1;1;-;-;-;-;2;1;-;-;-;1;1;2;3;-;-;-;1;15
"31059 BARBACENA";1;2;1;2;-;1;1;1;-;-;2;2;1;1;2;2;2;-;-;2;1;1;3;28
"31060 PONTE NOVA";-;1;-;1;-;1;-;-;-;1;-;1;-;2;1;2;-;-;1;1;1;-;-;13
"31061 MANHUACU";-;1;1;-;1;-;2;1;3;3;3;3;1;2;2;-;1;4;-;2;1;3;1;35
"31062 VICOSA";1;1;-;-;-;-;-;1;-;2;-;3;1;1;1;-;-;-;-;-;-;-;-;11
