"Microrregião IBGE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"31051 POCOS DE CALDAS";-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;3;1;-;-;-;-;-;7
"31052 POUSO ALEGRE";1;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"31053 SANTA RITA DO SAPUCAI";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"31054 SAO LOURENCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"31055 ANDRELANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"31057 LAVRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"31058 SAO JOAO DEL REI";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;4
"31059 BARBACENA";-;-;-;-;3;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;6
"31060 PONTE NOVA";-;-;-;1;-;-;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;5
"31061 MANHUACU";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"31062 VICOSA";-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"31063 MURIAE";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;3
"31064 UBA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"31065 JUIZ DE FORA";-;-;1;-;-;-;-;1;-;-;1;1;-;-;-;-;1;-;1;-;-;1;-;7
"31066 CATAGUASES";-;-;-;-;-;1;1;-;-;-;-;2;1;-;-;-;-;1;1;-;-;1;-;8
"Ignorado - MG";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"50001 BAIXO PANTANAL";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"50002 AQUIDAUANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"50004 CAMPO GRANDE";-;-;-;1;2;2;1;-;4;1;-;1;1;2;2;-;-;1;-;3;-;-;-;21
"50005 CASSILANDIA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"50006 PARANAIBA";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"50007 TRES LAGOAS";-;-;-;-;-;1;-;-;1;-;2;-;-;1;-;-;1;1;-;-;-;-;3;10
"50008 NOVA ANDRADINA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"50009 BODOQUENA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"50010 DOURADOS";-;-;2;-;1;1;1;-;-;2;1;3;-;1;1;-;-;-;-;-;-;1;-;14
"50011 IGUATEMI";-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;5
"Ignorado - MS";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"51001 ARIPUANA";-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"51002 ALTA FLORESTA";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"51003 COLIDER";1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"51004 PARECIS";-;2;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;1;8
"51005 ARINOS";-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"51006 ALTO TELES PIRES";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;3
"51007 SINOP";-;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;2;8
"51008 PARANATINGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"51009 NORTE ARAGUAIA";-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;2;-;1;8
"51010 CANARANA";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3
"51011 MEDIO ARAGUAIA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;2
"51012 ALTO GUAPORE";-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4
"51013 TANGARA DA SERRA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"51014 JAURU";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"51015 ALTO PARAGUAI";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"51016 ROSARIO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"51017 CUIABA";-;-;-;-;2;-;1;1;-;-;2;1;-;-;-;-;-;-;2;-;-;-;3;12
"51018 ALTO PANTANAL";-;-;-;-;-;-;-;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;4
"51019 PRIMAVERA DO LESTE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"51020 TESOURO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"51021 RONDONOPOLIS";-;-;1;2;-;-;2;2;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;9
